Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~machvl.PrjPcb|ReportField=ProjectFullPath~D:\do.an\Thi?t k? ph?n c?ng\900ma\machvl.PrjPcb|ReportField=Title~Bill of Materials For Project [machvl.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~22|ReportField=ReportTime~3:18:59 PM|ReportField=ReportDate~8/13/2015|ReportField=ReportDateTime~8/13/2015 3:18:59 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/13/2015|ReportField=CurrentTime~3:18:53 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\do.an\Thi?t k? ph?n c?ng\900ma\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/13/2015|ReportField=Organization~|ReportField=ProjectName~machvl.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~machvl.PrjPcb|ReportField=DataSourceFullPath~D:\do.an\Thi?t k? ph?n c?ng\900ma\machvl.PrjPcb
Header 2|Header, 2-Pin|3.3VDC|HDR1X2|Header 2|1
Cap|Capacitor|C3, C4, C5, C7|C0805|Cap|4
Cap2|Capacitor|C6|CAP 1uF SMD|Cap2|1
Cap|Capacitor|C8, C9|C1206|Cap|2
JP5|Connector 5|ISP|CON5|Con5|1
LED|LED Single colour Green and Red|LED1, LED2, LED3|SM-LED-GEEN|LED|3
Res1|Resistor|R1|SM-1206|Res1|1
res|Resistor|R2|SM-1206|Res1|1
220|Resistor 1/4W|R3, R4, R5|SM-1206|R|3
SW|Switch button 2 pin|SW_BUTTON|SW2|SW2|1
PIC24FJ128GA306||U1|TQFP64_10X10MC|PIC24FJ128GA306|1
JP3|Connector 3|UART1, UART2|CON3|Con3|2
XTAL|Crystal Oscillator|Y1|XT455k|XTAL|1
